X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
6,0.03,0.7,0.2,0.15,1.4716260499431218e+149,13.77784581074848,0.02
6,0.03,0.7,0.4,0.0,1.4701045775013843e+149,13.763601286666853,0.02
6,0.03,0.7,0.4,0.05,1.4806311554382855e+149,13.862154562300331,0.04
6,0.03,0.7,0.4,0.1,1.4571091672381542e+149,13.641933992953806,0.05
6,0.03,0.7,0.4,0.15,1.339096343422453e+149,12.537059225150802,0.02
6,0.03,0.7,0.6,0.0,1.5945258844350018e+149,14.928474375567017,0.03
6,0.03,0.7,0.6,0.05,1.6879523029332e+149,15.803163151814479,0.01
6,0.03,0.7,0.6,0.1,1.5249345248506222e+149,14.276937239382868,0.04
6,0.03,0.7,0.6,0.15,1.324930017663535e+149,12.404429436476736,0.04
6,0.05,0.1,0.05,0.0,1.6223317749788583e+149,15.188802243885611,0.02
6,0.05,0.1,0.05,0.05,1.373333863003477e+149,12.857602114255043,0.04
6,0.05,0.1,0.05,0.1,1.6377978633919725e+149,15.33360083688383,0.05
6,0.05,0.1,0.05,0.15,1.2570422860249776e+149,11.76884222395514,0.03
6,0.05,0.1,0.2,0.0,1.402804251913349e+149,13.133513562274533,0.02
6,0.05,0.1,0.2,0.05,1.5859377688296923e+149,14.848069620147385,0.03
6,0.05,0.1,0.2,0.1,1.4584343356532293e+149,13.654340654345049,0.04
6,0.05,0.1,0.2,0.15,1.704572199104077e+149,15.958764071519482,0.03
6,0.05,0.1,0.4,0.0,1.4870070697844074e+149,13.92184796387256,0.0
6,0.05,0.1,0.4,0.05,1.423860730127362e+149,13.330651218380355,0.01
6,0.05,0.1,0.4,0.1,1.413186572107344e+149,13.230716249598675,0.01
6,0.05,0.1,0.4,0.15,1.5457547763467252e+149,14.47186326346718,0.0
6,0.05,0.1,0.6,0.0,1.4207171239245961e+149,13.301219745926401,0.05
6,0.05,0.1,0.6,0.05,1.5070517980549806e+149,14.109513285127903,0.08
6,0.05,0.1,0.6,0.1,1.6566899078964085e+149,15.510474354610686,0.01
6,0.05,0.1,0.6,0.15,1.6421238638969134e+149,15.374102272650477,0.05
6,0.05,0.3,0.05,0.0,1.6277885217126979e+149,15.239890096761043,0.02
6,0.05,0.3,0.05,0.05,1.5411701894507367e+149,14.428940857084559,0.04
6,0.05,0.3,0.05,0.1,1.5824652540063371e+149,14.815558797296992,0.01
6,0.05,0.3,0.05,0.15,1.4249179238416222e+149,13.340549012719977,0.06
6,0.05,0.3,0.2,0.0,1.5782751043301938e+149,14.776329241552112,0.02
6,0.05,0.3,0.2,0.05,1.4087595411406276e+149,13.189268933508297,0.04
6,0.05,0.3,0.2,0.1,1.602881338812127e+149,15.006700880249525,0.03
6,0.05,0.3,0.2,0.15,1.5714718986754337e+149,14.712635398585878,0.04
6,0.05,0.3,0.4,0.0,1.625806676889313e+149,15.221335415428458,0.02
6,0.05,0.3,0.4,0.05,1.5963180451072133e+149,14.94525317165504,0.05
6,0.05,0.3,0.4,0.1,1.3898219399718913e+149,13.011968899346504,0.04
6,0.05,0.3,0.4,0.15,1.5140494892042272e+149,14.175027965089763,0.05
6,0.05,0.3,0.6,0.0,1.4399328975829046e+149,13.481124122183298,0.03
6,0.05,0.3,0.6,0.05,1.5248497158373188e+149,14.276143229580784,0.04
6,0.05,0.3,0.6,0.1,1.5433950422310446e+149,14.449770658622716,0.03
6,0.05,0.3,0.6,0.15,1.5315506324582002e+149,14.338879409058414,0.02
6,0.05,0.5,0.05,0.0,1.7027421730756351e+149,15.941630767545622,0.01
6,0.05,0.5,0.05,0.05,1.4838274263673618e+149,13.892079099197387,0.03
6,0.05,0.5,0.05,0.1,1.6178230409818347e+149,15.146589997224803,0.01
6,0.05,0.5,0.05,0.15,1.5487772148382793e+149,14.500160324062643,0.05
6,0.05,0.5,0.2,0.0,1.4618113495539925e+149,13.68595736623138,0.03
6,0.05,0.5,0.2,0.05,1.7374122945532735e+149,16.26622381751051,0.02
6,0.05,0.5,0.2,0.1,1.4604662931895497e+149,13.673364507334396,0.05
6,0.05,0.5,0.2,0.15,1.38618274713442e+149,12.97789758225328,0.03
6,0.05,0.5,0.4,0.0,1.61326237454577e+149,15.103891542034516,0.05
6,0.05,0.5,0.4,0.05,1.560941334306836e+149,14.614044800671206,0.03
6,0.05,0.5,0.4,0.1,1.457914558045749e+149,13.6494743258834,0.04
6,0.05,0.5,0.4,0.15,1.4449383840440218e+149,13.52798712836053,0.05
6,0.05,0.5,0.6,0.0,1.3988955491644197e+149,13.09691900498406,0.02
6,0.05,0.5,0.6,0.05,1.6493554941153919e+149,15.441807166916515,0.02
6,0.05,0.5,0.6,0.1,1.4746420414149385e+149,13.806082512230374,0.03
6,0.05,0.5,0.6,0.15,1.6902158518641143e+149,15.824355239407947,0.03
6,0.05,0.7,0.05,0.0,1.473092704936666e+149,13.791577115898587,0.02
6,0.05,0.7,0.05,0.05,1.4515787348926116e+149,13.590156271210834,0.03
6,0.05,0.7,0.05,0.1,1.3384935591214558e+149,12.531415760796119,0.09
6,0.05,0.7,0.05,0.15,1.505388458766208e+149,14.093940557088363,0.03
6,0.05,0.7,0.2,0.0,1.534259451684612e+149,14.36424026321843,0.04
6,0.05,0.7,0.2,0.05,1.567673358970352e+149,14.677072223848215,0.05
6,0.05,0.7,0.2,0.1,1.2826098708039e+149,12.008214339480581,0.07
6,0.05,0.7,0.2,0.15,1.5545817047374178e+149,14.554503862520303,0.04
6,0.05,0.7,0.4,0.0,1.474419734739002e+149,13.80400120420795,0.03
6,0.05,0.7,0.4,0.05,1.7413097032537016e+149,16.302712636214178,0.03
6,0.05,0.7,0.4,0.1,1.5526641448926337e+149,14.536551038244502,0.03
6,0.05,0.7,0.4,0.15,1.4334599694664905e+149,13.420522445870581,0.01
6,0.05,0.7,0.6,0.0,1.1666904112859564e+149,10.922938334910496,0.05
6,0.05,0.7,0.6,0.05,1.697740331023354e+149,15.89480188151937,0.0
6,0.05,0.7,0.6,0.1,1.3987589861061226e+149,13.095640456836087,0.09
6,0.05,0.7,0.6,0.15,1.5551408130668369e+149,14.55973841810223,0.03
6,0.07,0.1,0.05,0.0,1.5436679111872448e+149,14.452325347298697,0.0
6,0.07,0.1,0.05,0.05,1.7039159090876238e+149,15.952619669105449,0.02
6,0.07,0.1,0.05,0.1,1.5672933328024153e+149,14.673514294205638,0.02
6,0.07,0.1,0.05,0.15,1.4751162390001719e+149,13.810522105572328,0.05
6,0.07,0.1,0.2,0.0,1.3930908033187375e+149,13.042573070270901,0.02
6,0.07,0.1,0.2,0.05,1.9288124961602167e+149,18.058175289141882,0.04
6,0.07,0.1,0.2,0.1,1.4442236850486375e+149,13.521295881926097,0.04
6,0.07,0.1,0.2,0.15,1.44831201277542e+149,13.559572147180843,0.03
6,0.07,0.1,0.4,0.0,1.6050881435597822e+149,15.027361710185769,0.03
6,0.07,0.1,0.4,0.05,1.489429261319429e+149,13.944525315564531,0.05
6,0.07,0.1,0.4,0.1,1.7371297414069923e+149,16.26357846227033,0.0
6,0.07,0.1,0.4,0.15,1.5084163319313878e+149,14.122288498881023,0.02
6,0.07,0.1,0.6,0.0,1.454027402221028e+149,13.61308149796531,0.04
6,0.07,0.1,0.6,0.05,1.5840730850019555e+149,14.830611838487876,0.06
6,0.07,0.1,0.6,0.1,1.3369775011802575e+149,12.517221929044636,0.05
6,0.07,0.1,0.6,0.15,1.5148580776565246e+149,14.182598235417974,0.05
6,0.07,0.3,0.05,0.0,1.6460354254739343e+149,15.410723595227314,0.04
6,0.07,0.3,0.05,0.05,1.388086374486518e+149,12.995719965962337,0.07
6,0.07,0.3,0.05,0.1,1.5901565555667327e+149,14.887567285450075,0.01
6,0.07,0.3,0.05,0.15,1.264950676485201e+149,11.842883169599153,0.05
6,0.07,0.3,0.2,0.0,1.6063354321724174e+149,15.039039235319994,0.02
6,0.07,0.3,0.2,0.05,1.4510443168508745e+149,13.585152874201233,0.02
6,0.07,0.3,0.2,0.1,1.6163250973228363e+149,15.132565757325226,0.02
6,0.07,0.3,0.2,0.15,1.4916684722074624e+149,13.965489542417043,0.04
6,0.07,0.3,0.4,0.0,1.5084429794032022e+149,14.122537981253204,0.03
6,0.07,0.3,0.4,0.05,1.648732556006252e+149,15.435975015999032,0.04
