pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,inv_eff,mean_norm
0.05363636363636364,0.5,0.4,0.1,0.05363636363636364,0.5,0.4,0.1,0.9996763866909906,4.227237249658174e+147
0.05363636363636364,0.5,0.4,0.15,0.05363636363636364,0.5,0.4,0.15,0.039135624593720456,1.0798011538831835e+149
0.05363636363636364,0.5,0.6,0.0,0.05363636363636364,0.5,0.6,0.0,0.11071031985030068,3.817050899263902e+148
0.05363636363636364,0.5,0.6,0.05,0.05363636363636364,0.5,0.6,0.05,0.9993529827653694,4.228605239892504e+147
0.05363636363636364,0.5,0.6,0.1,0.05363636363636364,0.5,0.6,0.1,0.9987068022519696,4.231341220361163e+147
0.05363636363636364,0.5,0.6,0.15,0.05363636363636364,0.5,0.6,0.15,0.986700887416077,4.28282705865436e+147
0.05363636363636364,0.7,0.05,0.0,0.020909090909090912,0.5,0.05,0.0,0.06592738913883868,6.409884138630828e+148
0.05363636363636364,0.7,0.05,0.05,0.05363636363636364,0.7,0.05,0.05,0.038050992191228754,1.110580569932671e+149
0.05363636363636364,0.7,0.05,0.1,0.05363636363636364,0.7,0.05,0.1,0.03912644036513357,1.0800546177948785e+149
0.05363636363636364,0.7,0.05,0.15,0.03727272727272728,0.7,0.05,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.7,0.2,0.0,0.015454545454545455,0.5,0.05,0.0,0.11917691700351679,3.5458789887131776e+148
0.05363636363636364,0.7,0.2,0.05,0.05363636363636364,0.7,0.2,0.05,0.039701272705878025,1.064416571914627e+149
0.05363636363636364,0.7,0.2,0.1,0.05363636363636364,0.7,0.2,0.1,0.038655678646896584,1.0932078823464434e+149
0.05363636363636364,0.7,0.2,0.15,0.05363636363636364,0.7,0.2,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.7,0.4,0.0,0.03181818181818182,0.7,0.4,0.05,0.9983840252586861,4.232709210595493e+147
0.05363636363636364,0.7,0.4,0.05,0.05363636363636364,0.7,0.4,0.05,1.0,4.225869259423844e+147
0.05363636363636364,0.7,0.4,0.1,0.05363636363636364,0.7,0.4,0.1,0.08308036051040232,5.08648401795841e+148
0.05363636363636364,0.7,0.4,0.15,0.0590909090909091,0.7,0.4,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.7,0.6,0.0,0.03727272727272728,0.7,0.6,0.05,0.9937852602019379,4.2522961736876075e+147
0.05363636363636364,0.7,0.6,0.05,0.03727272727272728,0.7,0.6,0.05,0.9964517362546153,4.240917152001471e+147
0.05363636363636364,0.7,0.6,0.1,0.05363636363636364,0.7,0.6,0.1,0.9990297880199903,4.2299732301268334e+147
0.05363636363636364,0.7,0.6,0.15,0.05363636363636364,0.7,0.6,0.15,0.0396210987978716,1.0665704353587621e+149
0.0590909090909091,0.1,0.05,0.0,0.03181818181818182,0.1,0.05,0.05,1.0,4.225869259423844e+147
