X,valid_outputs,min_mc_norm,max_mc_norm,best_cim_norm,mean_cim_norm,best_percentile_uniform,mean_percentile_uniform_of_mean,modal_norm,peak_prob,log_skew,log_kurt,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,within_1.0x_min_mc,within_1.1x_min_mc,within_1.5x_min_mc,within_2.0x_min_mc
32,38800,4.219528806784665e+145,2.1506122415036913e+151,3.8061770980677767e+143,1.5735175697240416e+148,0.0,0.0025666666666666667,1.6171253277116067e+148,0.03904639175257732,-1.0833214325401712,2.356464819616293,1.5637044683038415e+147,4.212855243151716e+147,1.0350381401676151e+148,2.1430377482897284e+148,3.6400676007605254e+148,0.003402061855670103,0.003556701030927835,0.004561855670103093,0.00577319587628866
33,38800,1.0140174103870996e+146,2.2474392099161153e+151,6.09203059211936e+143,1.2156690450704146e+150,0.0,0.16123333333333334,1.3822061360704424e+148,0.03391752577319588,0.5786071399855862,-0.6738507423714659,1.7221162021120293e+147,4.894720981422763e+147,1.414863694389668e+148,4.170563207786433e+149,4.96651169226298e+150,0.005747422680412371,0.006134020618556701,0.008737113402061856,0.011984536082474228
34,38800,7.459795557383919e+145,2.4531101223455974e+151,9.991864843248811e+143,1.8823865535411813e+150,0.0,0.2335,1.2110213169917776e+148,0.02597938144329897,0.09933993969967461,-1.346621655837204,2.2226255243857072e+147,6.754295729273392e+147,2.775938669854419e+148,2.7810732551653698e+150,6.605437216582714e+150,0.003427835051546392,0.0036597938144329895,0.005231958762886598,0.006623711340206185
35,38800,5.250057638639827e+146,2.5750530319551148e+151,8.938666896462701e+144,4.9718078406200635e+150,0.0,0.5523333333333333,6.123166151720358e+150,0.05605670103092784,-2.3144983712504534,7.592244690324366,5.668692683487798e+149,1.805080498625587e+150,4.156220403425225e+150,7.311515878851638e+150,1.0564027054099261e+151,0.001134020618556701,0.0011855670103092784,0.001597938144329897,0.0020103092783505154
36,38800,3.9818029567558676e+145,2.7792525401846787e+151,7.110324798899122e+144,4.042204546809458e+150,0.0,0.4466,6.976997549100916e+150,0.04440721649484536,-1.104635576377055,0.0036731622725261204,1.0341849220450385e+148,1.9346429615560954e+149,2.8978672329034938e+150,6.5418368150921825e+150,1.012042511812138e+151,0.0004896907216494845,0.0005412371134020619,0.0006958762886597938,0.0010309278350515464
37,38800,1.990897432361644e+146,2.705392108152956e+151,1.4768104495660495e+145,5.335466907250174e+150,0.0,0.5509333333333334,6.976351801738282e+150,0.055644329896907214,-2.3759765657273166,7.404930640458778,5.945554098122621e+149,1.911025092233965e+150,4.469681385888168e+150,7.895712935370637e+150,1.1285453494336376e+151,0.0005412371134020619,0.0005670103092783505,0.0007216494845360825,0.0009020618556701031
38,38800,5.914786924566964e+146,2.865933398571878e+151,8.5885046896259e+143,2.0649030570722444e+150,0.0,0.22306666666666666,2.1392592436213864e+148,0.03167525773195876,0.2557505419047689,-1.116431317301962,3.822278504545509e+147,1.121176501037151e+148,3.741686678921422e+148,2.7202207956769975e+150,7.793609663923608e+150,0.01693298969072165,0.018788659793814434,0.025463917525773195,0.03391752577319588
39,38800,6.339567890895375e+145,2.836513947587123e+151,2.945614231739877e+143,3.756465652789897e+150,0.0,0.3798666666666667,7.721483144239018e+150,0.04311855670103093,-0.7392431799968396,-0.758514855532411,8.131626358526053e+147,3.5272227453714157e+148,2.100669342857994e+150,6.1239977156676565e+150,1.0387382368661387e+151,0.0007216494845360825,0.0007731958762886598,0.0011855670103092784,0.0014690721649484536
40,38800,8.735654405457075e+146,3.09168059924348e+151,8.541707911972125e+143,4.218538262196589e+149,0.0,0.04243333333333334,2.056433974811454e+148,0.04463917525773196,0.9566354183778774,2.833407222104709,2.6349238726892728e+147,7.202704662912104e+147,1.8188720508057464e+148,4.080057198256499e+148,1.038893789560962e+149,0.03399484536082474,0.03747422680412371,0.05144329896907217,0.06780927835051546
41,38800,8.013381027448824e+145,3.35362582633273e+151,8.58758186274812e+143,1.597869740673954e+148,0.0,0.0016333333333333334,1.6854442848731336e+148,0.036623711340206186,-1.0515416897362837,2.024710063304986,1.7254058567147985e+147,4.564480500407588e+147,1.0812296893625792e+148,2.20587632797708e+148,3.659102479611436e+148,0.0042525773195876285,0.005051546391752577,0.006984536082474227,0.00922680412371134
42,38800,3.568087912880132e+146,3.3787657885078297e+151,1.5242584925429693e+143,3.292105496886927e+150,0.0,0.3055333333333333,8.318993717470907e+150,0.03569587628865979,-0.17735889512497435,-1.3564637892743283,4.19634743329318e+147,1.3287379640688592e+148,2.736295505384206e+149,5.449502047196888e+150,1.0615715913338487e+151,0.009484536082474227,0.01038659793814433,0.014175257731958763,0.01925257731958763
43,38800,9.442950905559851e+146,3.357146600620741e+151,1.089454005214602e+144,1.575002908846833e+150,0.0,0.1411,1.757209911493144e+148,0.035670103092783505,0.6072200097229757,-0.667479709052317,2.5255925192585898e+147,6.860275298369949e+147,1.958045812170467e+148,7.125770309820896e+149,6.2530063578205396e+150,0.03757731958762887,0.04131443298969072,0.05621134020618557,0.07479381443298969
44,38800,6.887689529889358e+146,3.9973228715979375e+151,1.3752696732033086e+144,3.984048458775776e+150,0.0,0.3395666666666667,9.642299692543276e+150,0.03623711340206186,-0.5422666161100814,-1.125658658973172,4.57180703315534e+147,1.695280081032465e+148,1.7145424256934113e+150,6.578422341916671e+150,1.1626998560685041e+151,0.016623711340206185,0.01804123711340206,0.02443298969072165,0.031958762886597936
45,38800,1.594099140151762e+146,3.58190278274363e+151,5.5341328456570675e+143,3.6418321727713674e+149,0.0,0.0316,1.924091372051526e+148,0.049845360824742266,0.9702563695381663,3.5531869574985944,2.6982358631273524e+147,7.286145265378804e+147,1.8081983525794193e+148,3.83037545363017e+148,7.857456808057417e+148,0.006262886597938144,0.006804123711340206,0.008994845360824743,0.011804123711340207
46,38800,3.980150794985375e+146,3.619958244172383e+151,9.184170793398509e+143,2.5245126446514817e+150,0.0,0.20673333333333332,2.0751725793627493e+148,0.03229381443298969,0.35307855155417767,-1.1492193963598933,3.331711787197341e+147,9.549078274150902e+147,2.988700481422731e+148,3.056529214205825e+150,9.662590950846826e+150,0.011881443298969072,0.013015463917525774,0.017551546391752576,0.023324742268041238
47,38800,3.8979863161776744e+146,4.4400620459306793e+151,6.2835951201236175e+143,8.688439841653195e+149,0.0,0.06943333333333333,2.5871566961072196e+148,0.045,0.9706484587370945,1.5593526762533294,3.743772192736238e+147,1.0312797420616505e+148,2.682806381268621e+148,6.5085633999174e+148,1.1025101747949916e+150,0.01020618556701031,0.011005154639175257,0.014948453608247423,0.02015463917525773
48,38800,3.4636754795584638e+146,4.24956533795863e+151,5.698055280240573e+143,6.6063308708476e+150,0.0,0.47446666666666665,9.350950798119262e+150,0.057036082474226805,-1.4114651379699799,0.9238198541387335,1.595180592648872e+148,1.0814235294226899e+150,5.1241892053196666e+150,1.0347671778593252e+151,1.569381501739613e+151,0.003324742268041237,0.003634020618556701,0.004922680412371134,0.006288659793814433
49,38800,1.3394829069257404e+146,4.074954306450047e+151,9.001084862214546e+144,7.777937330822253e+150,0.0,0.533,1.145601123574713e+151,0.05389175257731959,-2.1377259751836735,4.988666413831184,4.423333421434925e+149,2.492694072916127e+150,6.415241623554021e+150,1.171820548844577e+151,1.6995277734267354e+151,0.0004381443298969072,0.00046391752577319587,0.0005412371134020619,0.0007731958762886598
50,38800,6.3294110346069565e+146,4.795270223578814e+151,2.8241913811546686e+143,6.784020946632133e+150,0.0,0.45693333333333336,9.811495826651249e+150,0.054149484536082475,-1.4122357017976155,1.0770525844303336,2.137236827148684e+148,1.016130330162691e+150,4.9455168712271875e+150,1.0688446491145261e+151,1.6498086599598443e+151,0.004536082474226804,0.004896907216494845,0.006752577319587629,0.009046391752577319
